Name,Site type,Community,Location
Carn-y-Wiwer Cairnfield & Platform Houses,Cairnfield,Ynyshir,"51°38′15″N 3°24′28″W﻿ / ﻿51.6376°N 3.4077°W, ST026941"
Mynydd y Gelli Kerb Cairn,Kerb cairn,Ystrad,"51°38′07″N 3°28′53″W﻿ / ﻿51.6353°N 3.4815°W, SS975939"
Gwersyll,Enclosure,Aberdare,"51°43′36″N 3°24′37″W﻿ / ﻿51.7266°N 3.4102°W, SO026040"
Craig y Ddinas Hillfort,Hillfort,Hirwaun,"51°45′40″N 3°34′22″W﻿ / ﻿51.761°N 3.5729°W, SN915080"
Cwm Cadlan Settlement and Field System,Hut Circle,Hirwaun,"51°47′20″N 3°28′56″W﻿ / ﻿51.7889°N 3.4823°W, SN978110"
Pant-y-Gadair Hut Circle Settlement,Hut Circle,Hirwaun,"51°48′18″N 3°28′19″W﻿ / ﻿51.8049°N 3.4719°W, SN986128"
Ring Cairn and Round Cairn on Southern Side of Mynydd-y-Glog,Ring cairn,Hirwaun,"51°45′40″N 3°29′19″W﻿ / ﻿51.7612°N 3.4886°W, SN973079"
Wernlas hut circle,Hut circle settlement,Hirwaun,"51°46′30″N 3°30′08″W﻿ / ﻿51.7749°N 3.5022°W, SN964095"
Rhiw Season Caerau,Hillfort,Llantrisant,"51°32′23″N 3°21′00″W﻿ / ﻿51.5397°N 3.3501°W, ST064831"
Hut Circles & Enclosures on Buarth Maen,Unenclosed hut circle,Llwydcoed,"51°44′16″N 3°25′51″W﻿ / ﻿51.7379°N 3.4307°W, SO013053"
Caer Gwanaf,Enclosure,Pont-y-clun,"51°30′40″N 3°22′26″W﻿ / ﻿51.5112°N 3.3738°W, ST047800"
Ring Cairn and Two Standing Stones on Coedpenmaen Common,Ring cairn,Pontypridd,"51°36′13″N 3°19′48″W﻿ / ﻿51.6036°N 3.33°W, ST079902"
Lle'r Gaer,Hillfort,Tonyrefail,"51°34′27″N 3°22′20″W﻿ / ﻿51.5742°N 3.3721°W, ST050870"
Blaenrhondda settlement,Hut circle settlement,Treherbert,"51°42′19″N 3°33′35″W﻿ / ﻿51.7052°N 3.5598°W, SN923018"
Ffos Toncenglau cross ridge dyke,Cross Ridge Dyke,Treherbert,"51°42′46″N 3°33′53″W﻿ / ﻿51.7129°N 3.5648°W, SN919027"
Earthwork 360m NNE of Crug yr Avan,Enclosure,Treorchy,"51°39′02″N 3°33′34″W﻿ / ﻿51.6506°N 3.5595°W, SS922957"
Mynydd Maendy hillfort,Hillfort,Treorchy,"51°38′55″N 3°30′31″W﻿ / ﻿51.6486°N 3.5086°W, ST957955"
Twyn y Bridallt Roman Camp,Marching camp,Aberaman,"51°40′26″N 3°26′41″W﻿ / ﻿51.6738°N 3.4448°W, ST001982"
Miskin Roman fort,Fort,Pont-y-clun,"51°31′04″N 3°22′46″W﻿ / ﻿51.5179°N 3.3794°W, ST043807"
Pen-y-Coedcae Roman Camp,Marching camp,Pontypridd,"51°35′01″N 3°20′53″W﻿ / ﻿51.5835°N 3.3481°W, ST069880"
Cross Ridge Dyke & Cairn on Twyn Hywel,Cross Ridge Dyke,Pontypridd,"51°36′42″N 3°18′03″W﻿ / ﻿51.6116°N 3.3007°W, ST100911"
Cross Ridge Dyke & Earthwork on Cefn Eglwysilan,Cross Ridge Dyke,Pontypridd,"51°36′14″N 3°18′05″W﻿ / ﻿51.604°N 3.3013°W, ST099902"
Bwlch y Clawdd Dyke,Linear earthwork,Treorchy,"51°38′21″N 3°31′59″W﻿ / ﻿51.6391°N 3.5331°W, SS940944"
Cadair Fawr settlement,House platform,Hirwaun,"51°47′57″N 3°28′19″W﻿ / ﻿51.7993°N 3.472°W, SN985122"
Pant Sychbant Medieval Hamlet,Deserted Rural Settlement,Hirwaun,"51°46′33″N 3°29′39″W﻿ / ﻿51.7759°N 3.4942°W, SN970096"
Pant Sychbant Medieval House,Rectangular hut,Hirwaun,"51°46′39″N 3°27′23″W﻿ / ﻿51.7774°N 3.4563°W, SN996097"
Gadlys,Moated Site,Llanharan,"51°31′12″N 3°28′23″W﻿ / ﻿51.5199°N 3.473°W, SS979811"
Llanilid Castle Mound,Motte,Llanharan,"51°31′18″N 3°28′29″W﻿ / ﻿51.5216°N 3.4748°W, SS977813"
"St Peter's Church, Remains of",Church,Llanharan,"51°33′28″N 3°27′13″W﻿ / ﻿51.5577°N 3.4536°W, SS993853"
Llantrisant Castle,Castle,Llantrisant,"51°32′29″N 3°22′29″W﻿ / ﻿51.5415°N 3.3748°W, ST047834"
Tarren Deusant Sculptured Rock & Spring,Petrosomatoglyph,Llantrisant,"51°34′33″N 3°22′10″W﻿ / ﻿51.5758°N 3.3694°W, ST052872"
Tomen y Clawdd,Motte,Llantwit Fardre,"51°34′11″N 3°18′44″W﻿ / ﻿51.5698°N 3.3121°W, ST091864"
Castell Nos,Motte,Maerdy,"51°41′27″N 3°29′56″W﻿ / ﻿51.6908°N 3.4989°W, SN964001"
Medieval Chapel of Talygarn,Chapel,Pont-y-clun,"51°30′42″N 3°24′14″W﻿ / ﻿51.5118°N 3.4039°W, ST026801"
Pontypridd Bridge,Bridge,Pontypridd,"51°36′18″N 3°20′18″W﻿ / ﻿51.605°N 3.3382°W, ST074904"
Glynneath Gunpowder Works,Industrial monument,Hirwaun,"51°45′57″N 3°33′55″W﻿ / ﻿51.7658°N 3.5654°W, SN920086"
Y Garreg Siglo Bardic Complex,Unclassified site,Pontypridd,"51°36′08″N 3°19′40″W﻿ / ﻿51.6022°N 3.3277°W, ST081901"
"Ventilation Furnace, Trehafod",Building (Unclassified),Porth,"51°36′42″N 3°23′01″W﻿ / ﻿51.6118°N 3.3836°W, ST042912"
Remains of Iron Furnace at Cwmaman,Industrial monument,Aberaman,"51°41′05″N 3°26′29″W﻿ / ﻿51.6848°N 3.4415°W, ST004994"
Gadlys Ironworks (Remains of Blast Furnace),Ironworks,Aberdare,"51°43′00″N 3°26′55″W﻿ / ﻿51.7167°N 3.4486°W, SO000029"
"Gelli-Isaf Tramroad Bridge, Abernant Tramroad",Bridge,Aberdare,"51°43′44″N 3°27′49″W﻿ / ﻿51.7288°N 3.4637°W, SN990043"
"Iron Tram Bridge, Robertstown",Bridge,Aberdare,"51°43′21″N 3°27′12″W﻿ / ﻿51.7224°N 3.4533°W, SN997036"
Remains of Gamlyn Railway Viaduct,Bridge,Aberdare,"51°44′01″N 3°28′33″W﻿ / ﻿51.7336°N 3.4758°W, SN981049"
"Tramroad East of Robert's Town Bridge, Aberdare",Tramway,Aberdare,"51°43′21″N 3°26′58″W﻿ / ﻿51.7224°N 3.4495°W, SN999036"
Dinas Silica Mine,Tramroad,Hirwaun,"51°45′38″N 3°34′15″W﻿ / ﻿51.7605°N 3.5708°W, SN916080"
Site of Hirwaun Ironworks,Industrial monument,Hirwaun,"51°44′29″N 3°30′40″W﻿ / ﻿51.7414°N 3.5112°W, SN957058"
Pillow Mound at Bryn y Gwyddel,Pillow mound,Llwydcoed,"51°45′13″N 3°26′23″W﻿ / ﻿51.7536°N 3.4397°W, SO007070"
Hetty Pit,Pit,Pontypridd,"51°36′33″N 3°22′00″W﻿ / ﻿51.6091°N 3.3666°W, ST054909"
Newbridge Colliery Engine,Beam engine,Pontypridd,"51°35′17″N 3°19′32″W﻿ / ﻿51.5881°N 3.3256°W, ST082885"
"Nantgarw China Works & Museum, Nantgarw",Pottery kiln,Taffs Well,"51°33′41″N 3°16′13″W﻿ / ﻿51.5614°N 3.2704°W, ST120854"
"Incline Haulage Systems, Cefn Ynysfeio, Treherbert",Incline Drumhouse,Treherbert,"51°40′26″N 3°31′10″W﻿ / ﻿51.674°N 3.5194°W, SS950983"
"Locomotive Type Steam Boiler, Blaen Rhondda",Colliery,Treherbert,"51°42′08″N 3°33′37″W﻿ / ﻿51.7021°N 3.5602°W, SN922015"
Longhole Cave,Cave,Port Eynon,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°32′35″N 4°14′05″W﻿ / ﻿51.5431°N 4.2348°W, SS451850"
Paviland Cave,Cave,Rhossili,"51°33′01″N 4°15′19″W﻿ / ﻿51.5502°N 4.2552°W, SS437859"
Cathole Cave,Cave,Ilston,"51°35′24″N 4°06′45″W﻿ / ﻿51.5899°N 4.1124°W, SS537900"
Cefn Bryn Burial Chamber,Chambered long cairn,Ilston,"51°34′41″N 4°09′18″W﻿ / ﻿51.5781°N 4.1551°W, SS507887"
Parc Cwm long cairn (Parc le Breos),Chambered long cairn,Ilston,"51°35′18″N 4°06′46″W﻿ / ﻿51.5883°N 4.1128°W, SS537898"
Penmaen Burrows Burial Chamber,Chambered tomb,Ilston,"51°34′22″N 4°07′13″W﻿ / ﻿51.5728°N 4.1203°W, SS531881"
Sweyne's Howe Chambered Cairns,Chambered tomb,Llangennith  Llanmadoc and Cheriton,"51°35′06″N 4°16′50″W﻿ / ﻿51.585°N 4.2805°W, SS421898"
Two Burial Chambers on Graig Fawr,Chambered tomb,Pontardulais,"51°44′14″N 4°00′59″W﻿ / ﻿51.7373°N 4.0164°W, SN608062"
Bon y Maen Standing Stone,Standing stone,Bonymaen,"51°38′25″N 3°54′40″W﻿ / ﻿51.6404°N 3.9112°W, SS678952"
Cockett standing stone,Standing stone,Cockett,"51°38′06″N 3°59′16″W﻿ / ﻿51.6351°N 3.9877°W, SS625947"
Llethrid Tooth Cave,Cave,Ilston,"51°35′52″N 4°07′17″W﻿ / ﻿51.5979°N 4.1213°W, SS531909"
Culver Hole,Cave,Llangennith  Llanmadoc and Cheriton,"51°36′46″N 4°18′14″W﻿ / ﻿51.6127°N 4.3038°W, SS405929"
"Arthur's Stone, Cefn Bryn",Chambered tomb,Llanrhidian Lower,"51°35′37″N 4°10′46″W﻿ / ﻿51.5936°N 4.1794°W, SS491905"
Lower Greyhound Inn Standing Stones,Standing stone,Llanrhidian Lower,"51°36′23″N 4°11′11″W﻿ / ﻿51.6065°N 4.1865°W, SS486920"
Samson's Jack,Standing stone,Llanrhidian Lower,"51°36′27″N 4°12′05″W﻿ / ﻿51.6075°N 4.2013°W, SS476921"
Ty'r Coed standing stone,Standing stone,Llanrhidian Lower,"51°36′12″N 4°12′09″W﻿ / ﻿51.6033°N 4.2025°W, SS475916"
Mynydd Pysgodlyn Round Barrow,Round barrow,Mawr,"51°43′31″N 3°58′39″W﻿ / ﻿51.7254°N 3.9775°W, SN635048"
Berry Ringwork,Ringwork,Port Eynon,"51°34′27″N 4°12′21″W﻿ / ﻿51.5742°N 4.2058°W, SS472884"
Burry Lesser Standing Stone,Standing stone,Port Eynon,"51°35′19″N 4°13′17″W﻿ / ﻿51.5885°N 4.2213°W, SS462900"
Burry Menhir,Standing stone,Port Eynon,"51°35′19″N 4°13′07″W﻿ / ﻿51.5885°N 4.2186°W, SS464900"
Burry Standing Stone,Standing stone,Port Eynon,"51°34′50″N 4°12′40″W﻿ / ﻿51.5806°N 4.2112°W, SS468891"
"Newton henge, cropmark",Henge,Port Eynon,"51°34′16″N 4°14′37″W﻿ / ﻿51.5711°N 4.2437°W, SS446881"
Cave 40m SE of Deborah's Hole,Cave site,Rhossili,"51°33′13″N 4°15′36″W﻿ / ﻿51.5537°N 4.26°W, SS434862"
Round Cairn with Cist on Mynydd Drumau,Round cairn,Clydach,"51°41′15″N 3°50′47″W﻿ / ﻿51.6876°N 3.8465°W, SN724003"
Cairns on Cefn Bryn,Round cairn,Ilston,"51°34′46″N 4°08′11″W﻿ / ﻿51.5795°N 4.1365°W, SS520889"
Cefn Bryn Burnt Mound,Burnt mound,Ilston,"51°34′56″N 4°08′20″W﻿ / ﻿51.5823°N 4.1389°W, SS519892"
Burnt Mound on Rhossili Down,Burnt mound,Llangennith  Llanmadoc and Cheriton,"51°35′29″N 4°17′01″W﻿ / ﻿51.5915°N 4.2836°W, SS419905"
"Llanmadoc Hill, cairn on E end of",Round cairn,Llangennith  Llanmadoc and Cheriton,"51°36′41″N 4°15′16″W﻿ / ﻿51.6115°N 4.2544°W, SS439927"
"Llanmadoc Hill, cairn on W end of",Round cairn,Llangennith  Llanmadoc and Cheriton,"51°36′31″N 4°16′08″W﻿ / ﻿51.6087°N 4.269°W, SS429924"
Round Cairn on Bessie's Meadow,Round cairn,Llangennith  Llanmadoc and Cheriton,"51°35′15″N 4°17′02″W﻿ / ﻿51.5874°N 4.2838°W, SS418900"
Burnt Mound 300m SW of Arthur's Stone,Burnt mound,Llanrhidian Lower,"51°35′32″N 4°10′58″W﻿ / ﻿51.5922°N 4.1829°W, SS488904"
Burnt Mound North of Arthur's Stone,Burnt mound,Llanrhidian Lower,"51°35′47″N 4°10′54″W﻿ / ﻿51.5964°N 4.1817°W, SS489908"
Pen-y-Crug Round Barrow,Round barrow,Llanrhidian Lower,"51°36′05″N 4°09′05″W﻿ / ﻿51.6014°N 4.1514°W, SS510913"
Round Cairn W of Arthur's Stone,Round cairn,Llanrhidian Lower,"51°35′37″N 4°10′51″W﻿ / ﻿51.5936°N 4.1809°W, SS490905"
Cairn 250m SW of Banc Llyn-Mawr,Round cairn,Mawr,"51°44′42″N 3°59′29″W﻿ / ﻿51.7451°N 3.9914°W, SN626070"
Pant-y-Ffa Round Cairn,Round cairn,Mawr,"51°42′22″N 4°00′03″W﻿ / ﻿51.706°N 4.0009°W, SN618027"
Ring Cairn on Tor Clawdd,Ring cairn,Mawr,"51°44′23″N 3°55′38″W﻿ / ﻿51.7396°N 3.9271°W, SN670062"
Garn Goch Round Barrow,Round barrow,Penllergaer,"51°39′51″N 4°01′03″W﻿ / ﻿51.6641°N 4.0176°W, SS605980"
Rhossili Down Round Cairns,Round cairn,Rhossili,"51°34′41″N 4°16′51″W﻿ / ﻿51.578°N 4.2807°W, SS420890"
Bishopston Valley Camp,Promontory Fort - inland,Bishopston,"51°34′15″N 4°03′57″W﻿ / ﻿51.5709°N 4.0659°W, SS569878"
Caswell Cliff Fort,Promontory Fort - coastal,Bishopston,"51°34′09″N 4°02′19″W﻿ / ﻿51.5693°N 4.0387°W, SS588875"
Burry Holms Camp,Promontory Fort - coastal,Llangennith  Llanmadoc and Cheriton,"51°36′34″N 4°18′49″W﻿ / ﻿51.6094°N 4.3135°W, SS398925"
Enclosure on Rhossili Down,Enclosure,Llangennith  Llanmadoc and Cheriton,"51°35′06″N 4°16′38″W﻿ / ﻿51.585°N 4.2773°W, SS423898"
"The Bulwark, Llanmadoc Hill",Hillfort,Llangennith  Llanmadoc and Cheriton,"51°36′43″N 4°15′00″W﻿ / ﻿51.612°N 4.2499°W, SS443927"
Three Camps on Harding's Down,Hillfort,Llangennith  Llanmadoc and Cheriton,"51°35′34″N 4°15′28″W﻿ / ﻿51.5929°N 4.2577°W, SS437906"
Earthwork 108m NNW of Fforest Newydd,Enclosure,Llangyfelach,"51°41′46″N 3°58′28″W﻿ / ﻿51.6962°N 3.9745°W, SS636015"
Dan-y-Lan Camp,Enclosure,Llanrhidian Higher,"51°38′32″N 4°05′26″W﻿ / ﻿51.6422°N 4.0906°W, SS554957"
Gron-Gaer,Enclosure,Llanrhidian Higher,"51°37′58″N 4°05′46″W﻿ / ﻿51.6329°N 4.096°W, SS550947"
Pen-y-Gaer,Hillfort,Llanrhidian Higher,"51°38′22″N 4°06′59″W﻿ / ﻿51.6394°N 4.1163°W, SS536955"
Cil Ifor Promontory Fort,Promontory Fort - inland,Llanrhidian Lower,"51°36′35″N 4°09′34″W﻿ / ﻿51.6098°N 4.1594°W, SS505923"
Stembridge Camp,Hillfort,Llanrhidian Lower,"51°36′04″N 4°12′39″W﻿ / ﻿51.6011°N 4.2108°W, SS469914"
Ring Cairn on Craig Fawr,Earthwork (unclassified),Mawr,"51°44′30″N 3°59′15″W﻿ / ﻿51.7416°N 3.9876°W, SN628066"
High Pennard,Earthwork (unclassified),Pennard,"51°33′37″N 4°04′03″W﻿ / ﻿51.5603°N 4.0674°W, SS567866"
Earthwork on Graig Fawr,Hillfort,Pontardulais,"51°44′36″N 4°00′10″W﻿ / ﻿51.7433°N 4.0027°W, SN618068"
Earthwork 450m SW of Llanddewi Church,Enclosure,Port Eynon,"51°34′36″N 4°13′47″W﻿ / ﻿51.5767°N 4.2298°W, SS455783"
Reynoldston Camp,Enclosure,Reynoldston,"51°35′15″N 4°11′26″W﻿ / ﻿51.5876°N 4.1905°W, SS483899"
Deborah's Hole Camp,Promontory Fort - coastal,Rhossili,"51°33′16″N 4°15′48″W﻿ / ﻿51.5545°N 4.2633°W, SS431863"
Horse Cliff Camp,Promontory Fort - coastal,Rhossili,"51°33′05″N 4°15′31″W﻿ / ﻿51.5515°N 4.2586°W, SS435860"
Lewes Castle Promontory Fort,Promontory Fort - coastal,Rhossili,"51°33′45″N 4°17′20″W﻿ / ﻿51.5625°N 4.2888°W, SS414873"
Old Castle Camp,Promontory Fort - coastal,Rhossili,"51°34′06″N 4°17′48″W﻿ / ﻿51.5684°N 4.2966°W, SS409880"
Paviland Camp,Promontory Fort - coastal,Rhossili,"51°33′03″N 4°15′20″W﻿ / ﻿51.5509°N 4.2555°W, SS437859"
Promontory Fort on Worms Head,Promontory Fort - coastal,Rhossili,"51°33′50″N 4°19′09″W﻿ / ﻿51.564°N 4.3193°W, SS393875"
Thurba Camp,Promontory Fort - coastal,Rhossili,"51°33′37″N 4°16′42″W﻿ / ﻿51.5603°N 4.2783°W, SS421870"
Earthwork on Kilvey Hill,Enclosure,St Thomas,"51°38′08″N 3°55′03″W﻿ / ﻿51.6356°N 3.9176°W, SS673947"
Church Hill Romano-British Enclosure,Enclosure,Ilston,"51°35′18″N 4°06′52″W﻿ / ﻿51.5883°N 4.1145°W, SS536898"
Mynydd Carn-Goch Roman Earthworks,Practice camp,Llwchwr,"51°39′22″N 4°00′48″W﻿ / ﻿51.6562°N 4.0134°W, SS608971"
Roman Practice Camp on Stafford Common,Practice camp,Llwchwr,"51°39′24″N 4°02′15″W﻿ / ﻿51.6568°N 4.0376°W, SS591973"
Medieval Hermitage Site on Burry Holms,Hermitage,Llangennith  Llanmadoc and Cheriton,"51°36′33″N 4°18′38″W﻿ / ﻿51.6093°N 4.3105°W, SS401925"
St Cennydd's Church Cross-shaft,Cross shaft,Llangennith  Llanmadoc and Cheriton,"51°35′59″N 4°16′12″W﻿ / ﻿51.5996°N 4.27°W, SS428914"
St Madoc's Church Cross-incised Stones,Cross,Llangennith  Llanmadoc and Cheriton,"51°37′05″N 4°15′23″W﻿ / ﻿51.618°N 4.2564°W, SS438934"
Llangyfelach Cross-Base,Cross,Llangyfelach,"51°40′22″N 3°57′32″W﻿ / ﻿51.6728°N 3.959°W, SS646989"
"Cross-Slab from Woodlands, Stout Hall (now in St George's Church, Reynoldston)",Cross-marked stone,Reynoldston,"51°35′19″N 4°11′46″W﻿ / ﻿51.5885°N 4.1961°W, SS479900"
Chantry Acre medieval chapel,Chapel,Bishopston,"51°34′27″N 4°03′19″W﻿ / ﻿51.5741°N 4.0553°W, SS576881"
Old Castle Camp,Ringwork,Bishopston,"51°35′28″N 4°02′54″W﻿ / ﻿51.591°N 4.0484°W, SS582900"
Original Swansea Castle,Castle,Castle,"51°37′16″N 3°56′29″W﻿ / ﻿51.6211°N 3.9414°W, SS657931"
Swansea Castle,Castle,Castle,"51°37′14″N 3°56′28″W﻿ / ﻿51.6205°N 3.9411°W, SS657930"
"St Michael's Chapel, Cwrt-y-Carne",Chapel,Gorseinon,"51°41′04″N 4°04′02″W﻿ / ﻿51.6844°N 4.0672°W, SN571004"
Llandeilo Castle Mound,Motte,Grovesend,"51°42′18″N 4°02′47″W﻿ / ﻿51.7049°N 4.0465°W, SN586026"
Penmaen Burrows Church,Church,Ilston,"51°34′23″N 4°07′14″W﻿ / ﻿51.5731°N 4.1206°W, SS531881"
Penmaen Burrows Ringwork,Ringwork,Ilston,"51°34′19″N 4°07′00″W﻿ / ﻿51.572°N 4.1166°W, SS534880"
Trinity Well and Remains of Chapel,Chapel,Ilston,"51°35′07″N 4°05′24″W﻿ / ﻿51.5853°N 4.09°W, SS552894"
Bovehill Castle,Manor,Llangennith  Llanmadoc and Cheriton,"51°37′01″N 4°13′11″W﻿ / ﻿51.6169°N 4.2196°W, SS464932"
North Hill Tor Camp,Enclosure,Llangennith  Llanmadoc and Cheriton,"51°37′18″N 4°14′11″W﻿ / ﻿51.6217°N 4.2363°W, SS452937"
Llanelen Chapel Site,Chapel,Llanrhidian Lower,"51°37′09″N 4°09′06″W﻿ / ﻿51.6193°N 4.1517°W, SS511933"
Weobley Castle,Castle,Llanrhidian Lower,"51°36′46″N 4°11′57″W﻿ / ﻿51.6128°N 4.1993°W, SS478927"
Loughor Castle,Castle,Llwchwr,"51°39′44″N 4°04′38″W﻿ / ﻿51.6622°N 4.0771°W, SS564979"
Cae Castell (Rhyndwyclydach Medieval Earthwork),Earthwork (unclassified),Mawr,"51°43′34″N 3°53′32″W﻿ / ﻿51.7261°N 3.8921°W, SN694047"
Penlle'r Castell,Castle,Mawr,"51°46′09″N 3°56′08″W﻿ / ﻿51.7691°N 3.9356°W, SN665096"
Oystermouth Castle,Castle,Mumbles,"51°34′38″N 4°00′10″W﻿ / ﻿51.5771°N 4.0027°W, SS613883"
Pennard Castle & Church,Castle,Pennard,"51°34′35″N 4°06′09″W﻿ / ﻿51.5765°N 4.1026°W, SS544885"
Norton Camp,Ringwork,Penrice,"51°33′34″N 4°10′39″W﻿ / ﻿51.5595°N 4.1775°W, SS491867"
Oxwich Castle,Castle,Penrice,"51°33′20″N 4°10′06″W﻿ / ﻿51.5555°N 4.1683°W, SS497862"
Penrice Castle,Castle,Penrice,"51°34′31″N 4°10′13″W﻿ / ﻿51.5752°N 4.1702°W, SS497884"
Penrice Ringwork,Ringwork,Penrice,"51°34′09″N 4°10′37″W﻿ / ﻿51.5693°N 4.1769°W, SS492878"
Tower NE of Oxwich Castle,Tower,Penrice,"51°33′22″N 4°10′02″W﻿ / ﻿51.5562°N 4.1672°W, SS498863"
Site of St Teilo's Old Parish Church,Church,Pontardulais,"51°42′28″N 4°02′59″W﻿ / ﻿51.7079°N 4.0497°W, SN584030"
St Maurice's Church,Church,Port Eynon,"51°34′46″N 4°12′40″W﻿ / ﻿51.5794°N 4.2111°W, SS468890"
Remains of Medieval Building & Church at Rhossili,Building (Unclassified),Rhossili,"51°34′18″N 4°17′16″W﻿ / ﻿51.5716°N 4.2879°W, SS415883"
Scott's Pit Engine House & Traces of Ancillary Buildings,Engine house,Birchgrove,"51°40′06″N 3°53′07″W﻿ / ﻿51.6683°N 3.8854°W, SS697982"
"St Peter's Chapel & Well, Caswell Bay",Chapel,Bishopston,"51°34′35″N 4°02′08″W﻿ / ﻿51.5764°N 4.0355°W, SS590883"
Morfa Bridge and Quays,Bridge,Bonymaen,"51°38′30″N 3°55′55″W﻿ / ﻿51.6418°N 3.9319°W, SS664954"
Clydach Upper Forge,Industrial monument,Clydach,"51°42′03″N 3°54′05″W﻿ / ﻿51.7009°N 3.9015°W, SN686019"
"Melin Mynach, Gorseinon",Mill,Gorseinon,"51°40′21″N 4°02′12″W﻿ / ﻿51.6726°N 4.0366°W, SS592990"
Parc le Breos Limekiln and Quarries,Limekiln,Ilston,"51°35′19″N 4°06′43″W﻿ / ﻿51.5887°N 4.1119°W, SS537898"
Industrial monument,Landore,51°38′15″N 3°56′06″W﻿ / ﻿51.6374°N 3.9351°W  SS661949,
Landore New Quay,Quay,Landore,"51°38′45″N 3°56′03″W﻿ / ﻿51.6459°N 3.9341°W, SS662958"
Morris Castle,Building (Unclassified),Landore,"51°39′01″N 3°56′20″W﻿ / ﻿51.6504°N 3.9389°W, SS659964"
Whiteford Lighthouse,Lighthouse,Llangennith  Llanmadoc and Cheriton,"51°39′09″N 4°15′03″W﻿ / ﻿51.6526°N 4.2509°W, SS443972"
Penclawdd Sea Dock and Canal,Dockyard,Llanrhidian Higher,"51°38′41″N 4°05′36″W﻿ / ﻿51.6447°N 4.0933°W, SS552960"
Gwernllwynchwyth Engine House,Engine house,Llansamlet,"51°39′55″N 3°53′06″W﻿ / ﻿51.6653°N 3.8849°W, SS697979"
Townshend's Great Leat & Waggonway,Industrial monument,Llansamlet,"51°39′53″N 3°53′10″W﻿ / ﻿51.6647°N 3.8862°W, SS696978"
Clyne Valley Shaft Mounds,Coal Mine,Mumbles,"51°36′31″N 4°00′34″W﻿ / ﻿51.6086°N 4.0095°W, SS609918"
Clyne Wood Arsenic & Copper Works,Industrial monument,Mumbles,"51°35′59″N 4°00′05″W﻿ / ﻿51.5996°N 4.0014°W, SS614908"
Clyne Wood Coal Level,Coal Mine,Mumbles,"51°36′10″N 4°00′15″W﻿ / ﻿51.6029°N 4.0043°W, SS612912"
Clyne Wood Colliery Steam Winding Machine,Industrial monument,Mumbles,"51°36′35″N 4°01′07″W﻿ / ﻿51.6096°N 4.0185°W, SS603920"
Ynys Pit & Leat,Aqueduct,Mumbles,"51°36′37″N 4°00′15″W﻿ / ﻿51.6103°N 4.0042°W, SS613920"
Limestone Quarry and Kiln at Oxwich,Limekiln,Penrice,"51°33′24″N 4°10′03″W﻿ / ﻿51.5566°N 4.1676°W, SS498864"
Culver Hole Dovecot,Dovecote,Port Eynon,"51°32′22″N 4°12′51″W﻿ / ﻿51.5394°N 4.2141°W, SS465845"
"The Salthouse, Port Eynon",Saltworks,Port Eynon,"51°32′23″N 4°12′30″W﻿ / ﻿51.5398°N 4.2084°W, SS469846"
Foxhole River Staithes,Staithes,St Thomas,"51°37′49″N 3°56′00″W﻿ / ﻿51.6302°N 3.9332°W, SS662941"
White Rock Copper Works,Industrial monument,St Thomas,"51°38′07″N 3°56′00″W﻿ / ﻿51.6354°N 3.9333°W, SS662947"
Penllergaer Orchideous House,Garden building,Penllergaer,"51°40′16″N 3°59′28″W﻿ / ﻿51.671°N 3.991°W, SS624987"
Remains of Astronomical Observatory at Penllergaer,Observatory,Penllergaer,"51°40′25″N 3°59′36″W﻿ / ﻿51.6737°N 3.9933°W, SS622990"
Oxwich Bay Coast Defence/Chain Home Low Radar Station,Radar Station,Penrice,"51°32′37″N 4°09′06″W﻿ / ﻿51.5435°N 4.1518°W, SS508849"
Carn-y-Defaid Round Cairns,Round cairn,Blaenavon,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°47′03″N 3°03′31″W﻿ / ﻿51.7842°N 3.0585°W, SO270100"
Cairns (4) West of Craig y Dyffryn,Round cairn,Henllys,"51°37′43″N 3°05′01″W﻿ / ﻿51.6285°N 3.0835°W, ST251927"
"Capel Newydd, Blaenavon (site of)",Chapel,Blaenavon,"51°45′47″N 3°03′33″W﻿ / ﻿51.763°N 3.0592°W, SO269076"
Llanderfel Church,Church,Fairwater,"51°39′06″N 3°03′55″W﻿ / ﻿51.6516°N 3.0653°W, ST263953"
"St. Peter's Churchyard Cross, Henllys",Cross,Henllys,"51°36′48″N 3°03′32″W﻿ / ﻿51.6132°N 3.059°W, ST267910"
Llantarnam Churchyard Cross,Cross,Llantarnam,"51°37′58″N 3°00′10″W﻿ / ﻿51.6328°N 3.0028°W, ST306931"
Llantarnam Abbey Tithe Barn,Tithe barn,Llantarnam,"51°37′54″N 2°59′43″W﻿ / ﻿51.6317°N 2.9954°W, ST312930"
Abersychan Limestone Railway,Railway,Abersychan,"51°43′57″N 3°03′07″W﻿ / ﻿51.7324°N 3.0519°W, SO274042"
